,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Albany,40,US,1553338404,50,42.65,-73.75,39.99,26.4
1,Port Elizabeth,1,US,1553338737,31,39.31,-74.98,51.01,20.8
2,Atuona,68,PF,1553354401,100,-9.8,-139.03,82.12,16.49
3,Touros,40,BR,1553329528,74,-5.2,-35.46,86.0,6.93
4,Puerto Ayora,20,EC,1553342682,70,-0.74,-90.35,86.0,11.41
5,Vaini,0,IN,1553389419,85,15.34,74.49,69.97,3.06
6,Santa Cruz de la Palma,75,ES,1553325110,63,28.68,-17.76,64.4,14.99
7,Bluff,0,AU,1553371713,89,-23.58,149.07,70.24,3.74
8,Parintins,68,BR,1553334622,79,-2.63,-56.73,85.27,4.18
9,Arraial do Cabo,40,BR,1553331162,65,-22.97,-42.02,82.4,10.29
10,Goedereede,8,NL,1553319644,75,51.82,3.98,48.99,18.34
11,Marzuq,0,YE,1553309789,64,14.4,46.47,62.77,2.95
12,Sungairaya,12,ID,1553381247,90,0.7,108.9,77.62,3.74
13,Neklyudovo,64,RU,1553310644,87,54.88,41.31,32.62,10.45
14,Jamestown,92,AU,1553374267,93,-33.21,138.6,63.22,7.76
15,Whitianga,88,NZ,1553365373,98,-36.83,175.7,60.01,4.63
16,Rikitea,32,PF,1553353476,98,-23.12,-134.97,79.33,18.95
17,Gornyy,92,RU,1553308967,92,51.76,48.54,34.69,12.68
18,Evensk,0,RU,1553368437,93,61.92,159.24,18.04,19.06
19,Busselton,8,AU,1553379851,52,-33.64,115.35,53.01,13.24
20,Kieta,80,PG,1553370066,98,-6.22,155.63,79.06,2.28
21,Qaanaaq,8,GL,1553335846,61,77.48,-69.36,-21.57,10.0
22,Iquitos,75,PE,1553338591,319,-3.75,-73.25,42.8,3.36
23,Severo-Kurilsk,80,RU,1553369471,96,50.68,156.12,30.1,18.61
24,Thompson,20,CA,1553343966,48,55.74,-97.86,17.6,14.99
25,Cape Town,0,ZA,1553316683,82,-33.93,18.42,72.0,9.17
26,Kodiak,90,US,1553343472,25,39.95,-94.76,53.6,10.29
27,Mataura,64,NZ,1553367055,90,-46.19,168.86,57.0,2.73
28,Matara,75,PE,1553338544,76,-13.74,-72.9,53.6,2.51
29,Clyde River,75,CA,1553336390,75,70.47,-68.59,-16.61,16.11
30,Snasa,88,NO,1553317321,81,64.25,12.38,31.36,16.82
31,Chuy,20,UY,1553333942,83,-33.69,-53.46,74.92,7.31
32,Lagos,20,NG,1553320160,74,6.46,3.39,86.0,4.7
33,Carnarvon,92,ZA,1553315784,16,-30.97,22.13,78.7,7.43
34,Kholodnyy,64,RU,1553371111,67,62.72,147.95,-7.35,2.62
35,East London,0,ZA,1553314402,83,-33.02,27.91,75.2,13.87
36,Clarence Town,20,AU,1553371099,88,-32.59,151.78,71.01,5.82
37,Ambanja,44,MG,1553309418,97,-13.68,48.45,72.67,1.95
38,Cidreira,12,BR,1553333153,85,-30.17,-50.22,74.47,5.41
39,Cherskiy,12,RU,1553367627,22,68.75,161.3,-14.64,2.17
40,Butaritari,68,KI,1553365905,100,3.07,172.79,81.4,8.99
41,Hithadhoo,68,MV,1553303466,100,-0.6,73.08,86.89,7.31
42,Pevek,0,RU,1553365420,35,69.7,170.27,-23.64,3.4
43,Sao Miguel do Araguaia,32,BR,1553333085,100,-13.28,-50.16,82.3,4.18
44,Lagoa,0,PT,1553322808,59,37.14,-8.45,64.99,10.29
45,Hermanus,64,ZA,1553316487,84,-34.42,19.24,71.01,1.01
46,Lompoc,90,US,1553349687,87,34.64,-120.46,60.01,3.36
47,Thinadhoo,32,MV,1553303498,100,0.53,72.93,85.9,7.65
48,Ushuaia,40,AR,1553337580,71,-54.81,-68.31,55.4,5.82
49,Avarua,80,CK,1553359425,88,-21.21,-159.78,78.8,3.36
